,序号,类别代号,产品分类,产品名称,判定结果,不合格项目分类,不合格项目,不合格规范列,检测数值,法规限制,规格型号,商标,生产日期,生产企业名称,生产企业地址,生产省份代码,生产省份,抽样单位名称,抽样单位代码,抽样单位地址,通报时间,通报文号,通报单位,措施,来源链接,来源链接.1,检验项目,抽检代码,抽检级别,检验机构,标准,备注
1182,1183,18,炒货及坚果制品-->坚果籽类制品,籽类食品 （圆花生）,不合格,生物毒素,黄曲霉毒素B₁,黄曲霉毒素B₁,121μg/kg,≤20μg/kg,/,/,2020-11-04,/,/,0,不详,山西田森集团有限公司广场店,20,山西省晋中市榆次区顺城街（文化广场地下）,2021-01-13,2021年第2期,山西市场监管局,,,http://scjgj.shanxi.gov.cn/content/tg/5ffea4f839a1e00ff15e8d0b.htm,,2,省抽,山西省食品药品检验所,GB 2761-2017,
1183,1184,31,餐饮环节产品-->其他餐饮环节产品,水煮花生,不合格,生物毒素,黄曲霉毒素B1,黄曲霉毒素B₁,28.0μg/kg,≤20μg/kg,散装称重,/,2020-10-22,开封假日酒店有限公司,开封市大梁路1号,4,河南,开封假日酒店有限公司,4,开封市大梁路1号,2021-01-12,2020年第21号,开封市场监管局,开封市市场监督管理局针对食用农产品中抽检发现的问题和不合格样品详细信息，定期通报给开封市农业农村局。并要求尉氏县、通许县、龙亭区市场监管部门对涉及单位依法处理，责令查清不合格批次、数量、流向，召回不合格产品，釆取下架等措施控制风险，分析原因进行整改，并依法予以查处。,,http://scjg.kaifeng.gov.cn/news/6969.cshtml,,3,市抽,郑州谱尼测试技术有限公司,GB 2761-2017,
1184,1185,5,食用油脂及其制品-->食用植物油,花生油,不合格,生物毒素,黄曲霉毒素B<sub>1</sub>,黄曲霉毒素B₁,35.1μg/kg,≤20μg/kg,/,/,2020-09-17,/,/,0,不详,乐陵市孔镇良心榨油房,2,山东省德州市乐陵市孔镇镇张桥,2021-01-12,2021年第1期,德州市场监管局,,,http://dzscjg.dezhou.gov.cn/n47758756/n47758827/n47758841/n52327993/c60478877/content.html,,3,市抽,德州市食品药品检验检测中心,GB 2761-2017,
1185,1186,18,炒货及坚果制品-->坚果籽类,优质花生米,不合格,生物毒素,黄曲霉毒素B₁,黄曲霉毒素B₁,201μg/kg,20μg/kg,/,/,2020-08-10,安徽燕之坊食品有限公司,/,0,不详,南昌市青云谱区好邻居超市京山店,18,江西省南昌市青云谱区何坊西路170号,2021-01-12,2020年第57期,江西市场监管局,对抽检中发现的不合格食品，江西省市场监督管理局已通知相关市场监管部门依法处置。属地市场监管部门已责令食品生产经营环节相关单位立即采取查清产品流向、停止销售、下架、召回等措施控制风险，并将查实的进货渠道、产地等信息通报相关管理部门。目前，对部分相关涉事单位已依法进行立案调查。,http://news.foodmate.net/2021/01/582412.html,http://amr.jiangxi.gov.cn/art/2020/12/23/art_22521_3054427.html,,2,省抽,江西省食品检验检测研究院,GB 2761-2017,
1186,1187,18,炒货及坚果制品-->坚果籽类,花生米,不合格,生物毒素,黄曲霉毒素B1,黄曲霉毒素B₁,25.4ug/kg,≤20ug/kg,/,,2020-10-31,/,/,0,不详,青州市开发区俊赫百货超市,2,山东省潍坊市青州市经济开发区国泰家园北沿街商业楼昭德北路3312号,2021-01-08,2020年第9期,潍坊市场监管局,对抽检中发现的不合格产品，生产经营者所在地市场监管部门已责令企业查清产品流向，召回、下架不合格产品，控制风险，并分析原因进行整改，涉及的不合格产品开展核查处置工作,,http://scjgj.weifang.gov.cn/xw/tzgg/spaqcjtg/202101/t20210108_5806343.html,,3,市抽,山东润达检测技术有限公司,GB 2761-2017,
1187,1188,18,炒货及坚果制品-->坚果籽类,花生米,不合格,生物毒素,黄曲霉毒素B1,黄曲霉毒素B₁,33.9μg/kg,≤20μg/kg,散装,,2020-10-25,/,/,0,不详,安丘市德梅超市,2,山东省潍坊市安丘市景芝镇建国村,2021-01-08,2020年第9期,潍坊市场监管局,对抽检中发现的不合格产品，生产经营者所在地市场监管部门已责令企业查清产品流向，召回、下架不合格产品，控制风险，并分析原因进行整改，涉及的不合格产品开展核查处置工作,,http://scjgj.weifang.gov.cn/xw/tzgg/spaqcjtg/202101/t20210108_5806343.html,,3,市抽,青岛谱尼测试有限公司,GB 2761-2017,
1188,1189,5,食用油脂及其制品-->食用植物油,花生油,不合格,生物毒素,黄曲霉毒素B₁,黄曲霉毒素B₁,120μg/kg,≤20μg/kg,/,/,2020-12-09,/,/,0,不详,岑溪市发坚油房,0,岑溪市玉梧大道296号,2021-01-08,2020年第19期,梧州市场监管局,对抽检中发现的不合格产品，梧州市市场监督管理局已责成辖区内相关市场监督管理部门依法予以查处。,,http://scjgj.wuzhou.gov.cn/ztzl_11993/cjxx_12002/t7612807.shtml,,3,市抽,梧州市食品药品检验所,GB 2761-2017,
1189,1190,5,食用油脂及其制品-->食用植物油,花生油,不合格,生物毒素,黄曲霉毒素B₁,黄曲霉毒素B₁,22.2μg/kg,≤20μg/kg,/,/,2020-11-30,/,/,0,不详,苍梧县盛记油坊商店,0,苍梧县石桥镇旧街44号李炳权出租屋,2021-01-08,2020年第19期,梧州市场监管局,对抽检中发现的不合格产品，梧州市市场监督管理局已责成辖区内相关市场监督管理部门依法予以查处。,,http://scjgj.wuzhou.gov.cn/ztzl_11993/cjxx_12002/t7612807.shtml,,3,市抽,梧州市食品药品检验所,GB 2761-2017,
1190,1191,5,食用油脂及其制品-->食用植物油,花生油,不合格,生物毒素,黄曲霉毒素B₁,黄曲霉毒素B₁,317μg/kg,≤20μg/kg,/,/,2020-11-30,/,/,0,不详,苍梧县旺甫镇旺姚油房,0,苍梧县旺甫镇浔阳路216号,2021-01-08,2020年第19期,梧州市场监管局,对抽检中发现的不合格产品，梧州市市场监督管理局已责成辖区内相关市场监督管理部门依法予以查处。,,http://scjgj.wuzhou.gov.cn/ztzl_11993/cjxx_12002/t7612807.shtml,,3,市抽,梧州市食品药品检验所,GB 2761-2017,
1191,1192,5,食用油脂及其制品-->食用植物油,花生油,不合格,生物毒素,黄曲霉毒素B₁,黄曲霉毒素B₁,24.8μg/kg,≤20μg/kg,/,/,2020-11-20,/,/,0,不详,梧州市长洲区醇坚源油坊,15,梧州市长洲区倒水镇龙泉路24号,2021-01-08,2020年第19期,梧州市场监管局,对抽检中发现的不合格产品，梧州市市场监督管理局已责成辖区内相关市场监督管理部门依法予以查处。,,http://scjgj.wuzhou.gov.cn/ztzl_11993/cjxx_12002/t7612807.shtml,,3,市抽,梧州市食品药品检验所,GB 2761-2017,
1192,1193,18,炒货及坚果制品-->坚果籽类制品,香酥花生,不合格,生物毒素,黄曲霉毒素B₁,黄曲霉毒素B₁,57.1µg/kg,≤20µg/kg,称重,柴大官仁及图形商标,2020-10-07,郯城恒瑞食品有限公司,山东省郯城县马头镇东爱国村,2,山东,公安县广惠超市有限公司,0,公安县斗湖堤镇荆江河路,2021-01-07,2021年第1期,湖北市场监管局,对抽检中发现的不合格产品，湖北省市场监督管理局已责成武汉、黄石、荆州、荆门、孝感、随州等市场监管部门严格按照《中华人民共和国食品安全法》等规定，及时启动核查处置工作，依法开展调查处理。涉及外省的不合格产品，已告知当地市场监管部门。,http://news.foodmate.net/2021/01/582085.html,http://scjg.hubei.gov.cn/bmdt/jggz/cjgg/202101/t20210107_3206459.shtml,,2,省抽,初检机构：湖北省食品质量安全监督检验研究院|复检机构：中国检验认证集团湖南有限公司,GB 2761-2017,
1193,1194,4,粮食及其制品-->大米,生态香米,不合格,生物毒素,黄曲霉毒素B₁,黄曲霉毒素B₁,20.0μg/kg,≤10μg/kg,2.5千克/袋,七眼泉,2020-09-26,桑植诚信专业合作社,湖南省张家界市桑植县芙蓉桥白族乡合群村,9,湖南,桑植诚信专业合作社,9,湖南省张家界市桑植县芙蓉桥白族乡合群村宋湾组,2021-01-07,湖南省市场监督管理局关于600批次食品安全抽样检验情况的公示,湖南市场监管局,对抽检中发现的不合格食品，省市场监管局已责成长沙、邵阳、张家界、益阳、湘西州等地市场监管局立即组织开展核查处置，督促食品生产经营者采取下架、封存、召回不合格产品等措施控制风险，对违法违规行为，依法从严处理；及时将有关食品生产经营者采取的风险防控措施和核查处置情况向社会公开。,http://news.foodmate.net/2021/01/581994.html,http://amr.hunan.gov.cn/amr/ztx/ssjygkx/spcj/202101/t20210107_14124710.html,,2,省抽,湖南省食品质量监督检验研究院,GB 2761-2017,
1194,1195,6,调味品-->复合调味品,芝麻花生混合酱,不合格,生物毒素,黄曲霉毒素B₁,黄曲霉毒素B₁,11.1 µg/kg,≤5.0µg/kg,200克/瓶,古福,2020-04-01,经销商：北京闽松经贸有限公司；生产商：河间市兴华食品厂,经销商地址：北京市大兴区龙发大街北京密码1号院1号楼2单元B1层B106室；生产商地址：河间市诗经村乡君子馆村,5,河北,信阳市浉河区游河万家福生活购物超市,4,信阳市浉河区游河乡三官新区迎宾大道安澜院18号,2021-01-06,2021年第2期,河南市场监管局,河南省市场监督管理局针对抽检发现的问题，对于不合格样品涉及外省生产单位的，已按规定移送相应省级食品监管部门进行调查处理；对于不合格样品涉及省内生产经营单位的，已要求郑州、洛阳、平顶山、安阳、鹤壁、新乡、焦作、濮阳、许昌、漯河、南阳、商丘、信阳、周口、驻马店、长垣、新蔡等地市场监管部门对涉及单位依法处理，责令查清不合格产品的批次、数量、流向，召回不合格产品，采取下架等措施控制风险，分析原因进行整改，并依法予以查处。,http://news.foodmate.net/2021/01/581976.html,http://scjg.henan.gov.cn/2021/01-06/2074090.html,,2,省抽,河南省产品质量监督检验院,GB 2761-2017,
1195,1196,6,调味品-->复合调味品,傻子调和芝麻酱,不合格,生物毒素,黄曲霉毒素B₁,黄曲霉毒素B₁,66.4µg/kg,≤5.0µg/kg,300g/瓶,图形商标,2020-10-30,清丰县卢家村食品有限公司,清丰县大屯乡经济开发区,4,河南,商丘市梁园区陈秀娟副食商行,4,河南省商丘市梁园区新建路与货场路交叉口向东10米路南,2021-01-06,2021年第2期,河南市场监管局,河南省市场监督管理局针对抽检发现的问题，对于不合格样品涉及外省生产单位的，已按规定移送相应省级食品监管部门进行调查处理；对于不合格样品涉及省内生产经营单位的，已要求郑州、洛阳、平顶山、安阳、鹤壁、新乡、焦作、濮阳、许昌、漯河、南阳、商丘、信阳、周口、驻马店、长垣、新蔡等地市场监管部门对涉及单位依法处理，责令查清不合格产品的批次、数量、流向，召回不合格产品，采取下架等措施控制风险，分析原因进行整改，并依法予以查处。,http://news.foodmate.net/2021/01/581976.html,http://scjg.henan.gov.cn/2021/01-06/2074090.html,,1,国抽,河南省产品质量监督检验院,GB 2761-2017,
1196,1197,5,食用油脂及其制品-->食用植物油,花生油,不合格,生物毒素,黄曲霉毒素B1,黄曲霉毒素B₁,53.9μg/kg,≤20μg/kg,散装,/,2020-10-26,惠东县梁化镇田秀斤油坊,惠东县梁化镇晨光村八队,1,广东,惠东县梁化镇田秀斤油坊,0,惠东县梁化镇晨光村八队,2021-01-04,2020年第21期,惠州市场监管局,,,http://hzamr.huizhou.gov.cn/zwgk/bmwj/tzgg/content/post_4159928.html,,3,市抽,惠州市食品药品检验所,GB 2761-2017,市级专项
1197,1198,5,食用油脂及其制品-->食用植物油,花生油,不合格,生物毒素,黄曲霉毒素B1,黄曲霉毒素B₁,52.3μg/kg,≤20μg/kg,散装,/,2020-10-25,惠东县梁化镇润智碾米店,惠东县梁化镇黎光村十一队,1,广东,惠东县梁化镇润智碾米店,0,惠东县梁化镇黎光村十一队,2021-01-04,2020年第21期,惠州市场监管局,,,http://hzamr.huizhou.gov.cn/zwgk/bmwj/tzgg/content/post_4159928.html,,3,市抽,惠州市食品药品检验所,GB 2761-2017,市级专项
1198,1199,5,食用油脂及其制品-->食用植物油,花生油,不合格,生物毒素,黄曲霉毒素B1,黄曲霉毒素B₁,144μg/kg,≤20μg/kg,散装,/,2020-10-25,惠东县梁化镇润智碾米店,惠东县梁化镇黎光村十一队,1,广东,惠东县梁化镇润智碾米店,0,惠东县梁化镇黎光村十一队,2021-01-04,2020年第21期,惠州市场监管局,,,http://hzamr.huizhou.gov.cn/zwgk/bmwj/tzgg/content/post_4159928.html,,3,市抽,惠州市食品药品检验所,GB 2761-2017,市级专项
1199,1200,18,炒货及坚果制品-->坚果籽类制品,倪太老奶奶五香花生米,不合格,生物毒素,黄曲霉毒素B<sub>1</sub>,黄曲霉毒素B<sub>1</sub>,41.4μg/kg,20μg/kg,110克/袋,倪太+图形商标,2020-09-26,合肥市蒸蒸凯旺食品有限责任公司,合肥市肥西县花岗镇工业园区,16,安徽,合肥市蒸蒸凯旺食品有限责任公司,16,安徽省合肥市肥西县花岗镇董岗合安路1079公里处,2020-12-31,2020年第58期,合肥市场监管局,对抽检中发现的不合格食品，市市场监管局已责成肥西、庐江、肥东等辖区市场监管部门立即组织开展核查处置，查清产品流向，采取下架召回不合格产品等措施控制风险；对违法违规行为，依法从严处理。以上辖区市场监管部门应及时将核查处置情况向社会公开。调查中发现涉及其他部门职责的，应当将有关信息通报相关职能部门。,,http://amr.hefei.gov.cn/sj/spcjtg/14693099.html,,3,市抽,安徽省产品质量监督检验研究院,GB 2761-2017,
1200,1201,31,餐饮环节产品-->其他餐饮环节产品,油炸花生,不合格,生物毒素,黄曲霉毒素B₁,黄曲霉毒素B₁,225μg/kg,≤20μg/kg,/,/,,/,/,0,不详,靖西市繁星阁餐饮部,0,靖西市新靖镇龙潭新区湿地公园周边A地块靖西环球大酒店第二层,2020-12-31,2020年第52期,百色市场监管局,对上述抽检中发现的不合格食品，各相关市场监督管理部门均已经依法进行处置。,,http://scjgj.baise.gov.cn/xwdt/tzgg/t7512807.shtml,,3,市抽,广电计量检测（南宁）有限公司,GB 2761-2017,
1201,1202,31,餐饮环节产品-->其他餐饮环节产品,炸花生米,不合格,生物毒素,黄曲霉毒素B<sub>1</sub>,黄曲霉毒素B₁,77.7μg/kg,≤20μg/kg,/,/,2020-11-17,/,/,4,河南,新乡市职业教育中心,4,河南省新乡市文化街61号,2020-12-31,2020年第68期,新乡市场监管局,新乡市市场监督管理局针对抽检发现的问题，已要求辉县市、牧野区、红旗区市场监督管理部门对不合格样品涉及的生产经营单位依法进行处理，责令查清不合格产品的批次、数量，采取下架等措施控制风险，分析原因进行整改，并依法予以查处。,,https://scjg.xinxiang.gov.cn/news/3075,,3,市抽,新乡市食品药品检验所,GB 2761-2017,
1202,1203,31,餐饮环节产品-->其他餐饮环节产品,花生及其制品（花生碎）,不合格,生物毒素,黄曲霉毒素B₁,黄曲霉毒素B₁,198μg/kg,≤20μg/kg,/,/,2020-10-10,/,/,20,山西,太原众腾餐饮管理有限公司,20,山西省太原市小店区晋阳街北张小区住宅南门12-2号一、二层铺位,2020-12-30,2020年第42期,山西市场监管局,针对上述抽检中发现的不合格产品，我局已督导市级市场监管部门按照相关法律法规依法处理。,http://news.foodmate.net/2020/12/581517.html,http://scjgj.shanxi.gov.cn/content/tg/5fec4d7739a1e069db741bf9.htm,,2,省抽,山西省食品药品检验所,GB 2761-2017,
1203,1204,31,餐饮环节产品-->其他餐饮环节产品,炝花生米,不合格,生物毒素,黄曲霉毒素B<sub>1</sub>,黄曲霉毒素B<sub>1</sub>,/,/,计量称重,/,2020-11-09,哈尔滨东方众合餐饮有限责任公司哈西万达分店,黑龙江省哈尔滨市南岗区中兴大道168号哈西万达广场步行街3层3069、3070、3071A号商铺,22,黑龙江,哈尔滨东方众合餐饮有限责任公司哈西万达分店,22,黑龙江省哈尔滨市南岗区中兴大道168号哈西万达广场步行街3层3069、3070、3071A号商铺,2020-12-29,2020年第10期,哈尔滨市场监管局,,,http://xxgk.harbin.gov.cn/art/2020/12/29/art_11337_972161.html,,3,市抽,黑龙江省质量监督检测研究院,GB 2761-2017,
1204,1205,31,餐饮环节产品-->其他餐饮环节产品,油炸花生米,不合格,生物毒素,黄曲霉毒素B<sub>1</sub>,黄曲霉毒素B<sub>1</sub>,/,/,计量称重,/,2020-11-06,哈尔滨市道外区北七蜀留香石锅鱼小盘菜,哈尔滨市道外区红河新区511栋1单元1层1号,22,黑龙江,哈尔滨市道外区北七蜀留香石锅鱼小盘菜,22,哈尔滨市道外区红河新区511栋1单元1层1号,2020-12-29,2020年第10期,哈尔滨市场监管局,,,http://xxgk.harbin.gov.cn/art/2020/12/29/art_11337_972161.html,,3,市抽,黑龙江省质量监督检测研究院,GB 2761-2017,
1205,1206,31,餐饮环节产品-->其他餐饮环节产品,芹菜花生米,不合格,生物毒素,黄曲霉毒素B<sub>1</sub>,黄曲霉毒素B<sub>1</sub>,/,/,计量称重,/,2020-11-07,哈尔滨市道外区赵佬爷成都市井火锅店,哈尔滨市道外区红平小区1栋5号门市-1-2层,22,黑龙江,哈尔滨市道外区赵佬爷成都市井火锅店,22,哈尔滨市道外区红平小区1栋5号门市-1-2层,2020-12-29,2020年第10期,哈尔滨市场监管局,,,http://xxgk.harbin.gov.cn/art/2020/12/29/art_11337_972161.html,,3,市抽,黑龙江省质量监督检测研究院,GB 2761-2017,
1206,1207,31,餐饮环节产品-->其他餐饮环节产品,熟制花生米,不合格,生物毒素,黄曲霉毒素B<sub>1</sub>,黄曲霉毒素B<sub>1</sub>,/,/,计量称重,/,2020-10-30,哈尔滨东方众合餐饮有限责任公司中央厨房分店,哈尔滨市道里区新发镇先锋村,22,黑龙江,哈尔滨东方众合餐饮有限责任公司和兴分店,22,哈尔滨市香坊区松新街11-1号哈锅凯旋广场小区F栋7号,2020-12-29,2020年第10期,哈尔滨市场监管局,,,http://xxgk.harbin.gov.cn/art/2020/12/29/art_11337_972161.html,,3,市抽,黑龙江省质量监督检测研究院,GB 2761-2017,
1207,1208,18,炒货及坚果制品-->坚果籽类,生花生米,不合格,生物毒素,黄曲霉毒素B₁,黄曲霉毒素B₁,,,散装,/,2020-11-30,/,/,0,不详,贵阳市南明区舒家大院火锅店,27,贵阳市南明区花果园彭家湾花果园项目J区1栋S104号[花果园社区],2020-12-29,2020年第53期,贵阳市场监管局,对抽检中发现的不合格产品，贵阳市市场监管局已责成辖区市场监管部门按照《中华人民共和国食品安全法》相关规定，采取下架、召回、立案调查等措施，查明不合格食品数量、原因，制定整改措施，防控食品安全风险，并同步做好后期的跟踪复查工作。,,http://amr.guiyang.gov.cn/zwgk/zdlyxxgk/spaq_5772411/202012/t20201230_65840481.html,,3,市抽,贵州博联检测技术股份有限公司,GB 2761-2017,
1208,1209,31,餐饮环节产品-->其他餐饮环节产品,水煮花生,不合格,生物毒素,黄曲霉毒素B₁,黄曲霉毒素B₁,61.7μg/kg,≤20μg/kg,/,/,2020-11-02,/,/,2,山东,淄博大芦湖文化旅游有限公司,2,山东省淄博市高青县常家镇广青路68号（蓑衣樊村）,2020-12-29,2020年第25期,淄博市场监管局,对上述抽检中发现的不合格产品，对存在的违法行为依法处理。,,http://msa.zibo.gov.cn/art/2020/12/29/art_9717_2068997.html,,3,市抽,,GB 2761-2017,
1209,1210,18,炒货及坚果制品-->坚果籽类,白皮花生,不合格,生物毒素,黄曲霉毒素B₁,黄曲霉毒素B₁,512μg/kg,≤20μg/kg,/,/,2020-11-03,/,/,0,不详,蔡凤连  532925196611060766,13,大理州弥渡县建设路农贸市场,2020-12-29,2020年第55期,云南市场监管局,对抽检中发现的不合格产品，云南省市场监督管理局已责成企业所在地监管部门按照《中华人民共和国食品安全法》的规定， 责令生产经营企业及时采取下架、召回等措施，进一步调查处理， 查明生产不合格产品的批次、数量和成因，制定整改措施。,http://news.foodmate.net/2020/12/581389.html,http://amr.yn.gov.cn/info/1030/13888.htm,,2,省抽,昆明海关技术中心,GB 2761-2017,/
1210,1211,18,炒货及坚果制品-->坚果籽类,白皮花生,不合格,生物毒素,黄曲霉毒素B₁,黄曲霉毒素B₁,232μg/kg,≤20μg/kg,/,/,2020-11-03,/,/,0,不详,南涧县速达调味品配送中心,13,大理白族自治州南涧彝族自治县南涧镇涧河社区居委会南涧新农贸市场8栋1号,2020-12-29,2020年第55期,云南市场监管局,对抽检中发现的不合格产品，云南省市场监督管理局已责成企业所在地监管部门按照《中华人民共和国食品安全法》的规定， 责令生产经营企业及时采取下架、召回等措施，进一步调查处理， 查明生产不合格产品的批次、数量和成因，制定整改措施。,http://news.foodmate.net/2020/12/581389.html,http://amr.yn.gov.cn/info/1030/13888.htm,,2,省抽,昆明海关技术中心,GB 2761-2017,/
1211,1212,18,炒货及坚果制品-->坚果籽类,花生,不合格,生物毒素,黄曲霉毒素B₁,黄曲霉毒素B₁,64.7μg/kg,≤20μg/kg,/,/,2020-11-03,/,/,0,不详,蒋应强（510128197412177333）,13,云南省临沧市双江拉祜族佤族布朗族傣族自治县,2020-12-29,2020年第55期,云南市场监管局,对抽检中发现的不合格产品，云南省市场监督管理局已责成企业所在地监管部门按照《中华人民共和国食品安全法》的规定， 责令生产经营企业及时采取下架、召回等措施，进一步调查处理， 查明生产不合格产品的批次、数量和成因，制定整改措施。,http://news.foodmate.net/2020/12/581389.html,http://amr.yn.gov.cn/info/1030/13888.htm,,2,省抽,昆明海关技术中心,GB 2761-2017,
1212,1213,18,炒货及坚果制品-->坚果籽类,白皮花生,不合格,生物毒素,黄曲霉毒素B₁,黄曲霉毒素B₁,204μg/kg,≤20μg/kg,/,/,2020-10-26,/,/,0,不详,瞿德英 510230197406023343,13,云南省临沧市永德县永康镇,2020-12-29,2020年第55期,云南市场监管局,对抽检中发现的不合格产品，云南省市场监督管理局已责成企业所在地监管部门按照《中华人民共和国食品安全法》的规定， 责令生产经营企业及时采取下架、召回等措施，进一步调查处理， 查明生产不合格产品的批次、数量和成因，制定整改措施。,http://news.foodmate.net/2020/12/581389.html,http://amr.yn.gov.cn/info/1030/13888.htm,,2,省抽,昆明海关技术中心,GB 2761-2017,
1213,1214,18,炒货及坚果制品-->坚果籽类,白皮花生,不合格,生物毒素,黄曲霉毒素B₁,黄曲霉毒素B₁,58.6μg/kg,≤20μg/kg,/,/,2020-10-29,/,/,0,不详,李军亚533022198910261615,13,保山市施甸县旧城乡旧城街,2020-12-29,2020年第55期,云南市场监管局,对抽检中发现的不合格产品，云南省市场监督管理局已责成企业所在地监管部门按照《中华人民共和国食品安全法》的规定， 责令生产经营企业及时采取下架、召回等措施，进一步调查处理， 查明生产不合格产品的批次、数量和成因，制定整改措施。,http://news.foodmate.net/2020/12/581389.html,http://amr.yn.gov.cn/info/1030/13888.htm,,2,省抽,昆明海关技术中心,GB 2761-2017,/
1214,1215,18,炒货及坚果制品-->坚果籽类,白皮花生,不合格,生物毒素,黄曲霉毒素B₁,黄曲霉毒素B₁,104μg/kg,≤20μg/kg,/,/,2020-10-29,/,/,0,不详,杨仙丽533022197412081625,13,保山市施甸县旧城乡旧城街,2020-12-29,2020年第55期,云南市场监管局,对抽检中发现的不合格产品，云南省市场监督管理局已责成企业所在地监管部门按照《中华人民共和国食品安全法》的规定， 责令生产经营企业及时采取下架、召回等措施，进一步调查处理， 查明生产不合格产品的批次、数量和成因，制定整改措施。,http://news.foodmate.net/2020/12/581389.html,http://amr.yn.gov.cn/info/1030/13888.htm,,2,省抽,昆明海关技术中心,GB 2761-2017,/
1215,1216,18,炒货及坚果制品-->坚果籽类,红皮花生,不合格,生物毒素,黄曲霉毒素B₁,黄曲霉毒素B₁,334μg/kg,≤20μg/kg,/,/,2020-10-26,/,/,0,不详,张朝润 （532923196803210914）,13,云南省临沧市永德县永康镇,2020-12-29,2020年第55期,云南市场监管局,对抽检中发现的不合格产品，云南省市场监督管理局已责成企业所在地监管部门按照《中华人民共和国食品安全法》的规定， 责令生产经营企业及时采取下架、召回等措施，进一步调查处理， 查明生产不合格产品的批次、数量和成因，制定整改措施。,http://news.foodmate.net/2020/12/581389.html,http://amr.yn.gov.cn/info/1030/13888.htm,,2,省抽,昆明海关技术中心,GB 2761-2017,
1216,1217,18,炒货及坚果制品-->坚果籽类,白皮花生,不合格,生物毒素,黄曲霉毒素B₁,黄曲霉毒素B₁,34.4μg/kg,≤20μg/kg,/,/,2020-10-24,/,/,0,不详,腾冲市腾越镇刚豪调料食品店,13,保山市腾冲市腾越镇满邑综合市场B号楼-25,2020-12-29,2020年第55期,云南市场监管局,对抽检中发现的不合格产品，云南省市场监督管理局已责成企业所在地监管部门按照《中华人民共和国食品安全法》的规定， 责令生产经营企业及时采取下架、召回等措施，进一步调查处理， 查明生产不合格产品的批次、数量和成因，制定整改措施。,http://news.foodmate.net/2020/12/581389.html,http://amr.yn.gov.cn/info/1030/13888.htm,,2,省抽,昆明海关技术中心,GB 2761-2017,/
1217,1218,18,炒货及坚果制品-->坚果籽类,白皮花生,不合格,生物毒素,黄曲霉毒素B₁,黄曲霉毒素B₁,32μg/kg,≤20μg/kg,/,/,2020-10-20,/,/,0,不详,元江县傅江华商店,0,元江县甘庄街道办振兴街,2020-12-29,2020年第55期,云南市场监管局,对抽检中发现的不合格产品，云南省市场监督管理局已责成企业所在地监管部门按照《中华人民共和国食品安全法》的规定， 责令生产经营企业及时采取下架、召回等措施，进一步调查处理， 查明生产不合格产品的批次、数量和成因，制定整改措施。,http://news.foodmate.net/2020/12/581389.html,http://amr.yn.gov.cn/info/1030/13888.htm,,2,省抽,昆明海关技术中心,GB 2761-2017,/
1218,1219,18,炒货及坚果制品-->坚果籽类,花生,不合格,生物毒素,黄曲霉毒素B₁,黄曲霉毒素B₁,58.8μg/kg,≤20μg/kg,/,/,2020-09-20,/,/,0,不详,昭阳区岳记食杂经营店,13,云南省昭通市昭阳区太平街道办事处计都农贸市场25栋3号,2020-12-29,2020年第55期,云南市场监管局,对抽检中发现的不合格产品，云南省市场监督管理局已责成企业所在地监管部门按照《中华人民共和国食品安全法》的规定， 责令生产经营企业及时采取下架、召回等措施，进一步调查处理， 查明生产不合格产品的批次、数量和成因，制定整改措施。,http://news.foodmate.net/2020/12/581389.html,http://amr.yn.gov.cn/info/1030/13888.htm,,2,省抽,云南华衡检测技术有限公司,GB 2761-2017,供应商电话：15894209755（口述），以上信息由被抽样单位提供并确认。
1219,1220,31,餐饮环节产品-->其他餐饮环节产品,油炸花生米,不合格,生物毒素,黄曲霉毒素B₁,黄曲霉毒素B₁,25.8,≤20,/,/,2020-11-26,武冈市胡胖子有点味店,湖南省邵阳市武冈市同福街3栋一层二层,9,湖南,武冈市胡胖子有点味店,9,湖南省邵阳市武冈市同福街3栋一层二层,2020-12-28,邵阳市市场监督管理局关于502批次食品安全监督抽检情况的公示,邵阳市场监管局,/,,https://www.shaoyang.gov.cn/syscjdglj/cjgs/202012/e8c33afdc8e3444993da7e5cfe2b87b9.shtml,,3,市抽,中国检验认证集团湖南有限公司,GB 2761-2017,
1220,1221,5,食用油脂及其制品-->食用植物油,花生油,不合格,生物毒素,黄曲霉毒素B₁,黄曲霉毒素B1,41μg/kg,﹤20μg/kg,散装,,2020-06-05,中山市板芙镇农艺花生油加工店,中山市板芙镇聚福北街3号之9铺第1卡,1,广东,中山市板芙镇农艺花生油加工店,1,中山市板芙镇聚福北街3号之9铺第1卡,2020-12-28,2020年第78期,中山市场监管局,中山市市场监督管理局已对不合格食品及其经营者进行调查处理，要求经营者采取有效管理措施，控制食品安全风险，并依法予以查处。,,http://www.zs.gov.cn/zjj/spypaqxxgk/zlxx/spzlxx/content/post_1883150.html,,3,市抽,广东省中山市质量计量监督检测所,GB 2761-2017,
